state,year,college,beer,primary,secondary,population,unemploy,fatalities,totalvmt,precip,snow32,rural_speed,urban_speed
AZ,2001,.2643452,1.47,0,1,5295.929,4.6999998,1048,50860,.97666663,0,75,55
AZ,2002,.26651141,1.46,0,1,5438.159,6.1999998,1117,51334,.57333332,0,75,55
AZ,2003,.26623279,1.41,0,1,5577.784,5.5999999,1120,53896,1.0858333,0,75,55
CA,1981,.2529448,1.4299999,0,0,24285.933,7.4000001,5170,159900,2.0675001,0,55,55
CA,1982,.2576313,1.37,0,0,24820.007,9.8999996,4618,169999,2.6725001,0,55,55
CA,1983,.26474074,1.37,0,0,25360.023,9.6999998,4573,182652,3.99,0,55,55
CA,1984,.27019298,1.38,0,0,25844.397,7.8000002,5020,196537,1.5125,0,55,55
CA,1985,.27203968,1.3200001,0,0,26441.107,7.1999998,4961,207600,1.2908334,0,55,55
CA,1986,.27377346,1.36,0,1,27102.238,6.6999998,5253,214913,2.7558334,0,55,55
CA,1987,.27953795,1.36,0,1,27777.16,5.8000002,5504,226301,1.6858333,0,55,55
CA,1988,.27364054,1.34,0,1,28464.25,5.3000002,5390,241575,1.39,0,65,55
CA,1989,.26238069,1.3099999,0,1,29218.165,5.0999999,5412,251482,1.1825,0,65,55
CA,1990,.24681683,1.3200001,0,1,29959.515,5.8000002,5189,258926,1.3050001,0,65,55
CA,1991,.24305207,1.22,0,1,30470.736,7.6999998,4685,257976,1.6633333,0,65,55
CA,1992,.2413215,1.28,0,1,30974.659,9.3000002,4189,262548,2.2391667,0,65,55
CA,1993,.24216677,1.17,1,0,31274.928,9.3999996,4163,266408,2.6266665,0,65,55
CA,1994,.2448619,1.09,1,0,31484.435,8.6000004,4226,271943,1.6883334,0,65,55
CA,1995,.25362018,1.14,1,0,31696.582,7.8000002,4192,276371,2.8975,0,65,55
CA,1996,.26176879,1.11,1,0,32018.834,7.1999998,3989,278043,2.9591668,0,70,65
CA,1997,.27002296,1.12,1,0,32486.01,6.3000002,3688,279096,1.6158333,0,70,65
CA,1998,.2749857,1.1,1,0,32987.675,5.9000001,3494,290630,3.8083334,0,70,65
CA,1999,.27955747,1.1,1,0,33499.204,5.1999998,3559,300066,1.7483333,0,70,65
CA,2000,.28514543,1.0700001,1,0,34002.756,4.9000001,3753,306649,2.1524999,0,70,65
CA,2001,.28968826,1.08,1,0,34526.66,5.4000001,3956,310703,2.1324999,0,70,65
CA,2002,.29549032,1.0700001,1,0,34988.088,6.6999998,4078,320942,1.6274999,0,70,65
CA,2003,.30432019,1.0599999,1,0,35456.602,6.6999998,4215,323592,1.9075,0,70,65
CO,1981,.2902185,1.63,0,0,2977.899,5.5,755,22337,1.24,.15666667,55,55
CO,1982,.29768804,1.64,0,0,3061.562,7.6999998,667,23786,1.3925,.24583332,55,55
CO,1983,.30619434,1.5700001,0,0,3133.634,6.5999999,647,24109,1.5558333,.29749998,55,55
CO,1984,.31140718,1.51,0,0,3169.995,5.5999999,609,24588,1.3183334,.37,55,55
CO,1985,.31102201,1.47,0,0,3208.726,5.9000001,578,26146,1.3675001,.35249999,55,55
CO,1986,.30616096,1.47,0,0,3237.448,7.4000001,603,26382,1.3616667,.056666669,55,55
CO,1987,.30817434,1.4299999,0,0,3260.477,7.6999998,591,26968,1.4208333,.40000001,55,55
CO,1988,.29719636,1.42,0,1,3262.28,6.4000001,497,27665,1.235,.24583332,65,55
CO,1989,.29320192,1.4,0,1,3275.815,5.8000002,528,27577,1.0991666,.29083332,65,55
CO,1990,.29399127,1.35,0,1,3307.618,5,544,27178,1.4025,.245,65,55
CO,1991,.29979843,1.39,0,1,3387.119,5.0999999,543,27744,1.3049999,.3075,65,55
CO,1992,.31130114,1.34,0,1,3495.939,6,522,30808,1.34,.31916666,65,55
CO,1993,.30948213,1.4,0,1,3613.734,5.3000002,559,32718,1.4066666,.50416666,65,55
CO,1994,.32158181,1.36,0,1,3724.168,4.1999998,585,33705,1.1291666,.21499999,65,55
CO,1995,.32103941,1.34,0,1,3826.653,4.1999998,645,35058,1.6075,.098333336,65,55
CO,1996,.3230277,1.36,0,1,3919.972,4.1999998,617,36141,1.3666667,.32083333,75,65
CO,1997,.32870653,1.3,0,1,4018.293,3.3,613,37746,1.5599999,.31416667,75,65
CO,1998,.33843428,1.33,0,1,4116.639,3.8,628,39283,1.2525001,.21166667,75,65
CO,1999,.34893674,1.33,0,1,4226.018,2.9000001,626,40732,1.4841666,.10583333,75,65
CO,2000,.35140094,1.35,0,1,4326.926,2.8,681,41771,1.1233333,.17416666,75,65
CO,2001,.35310233,1.42,0,1,4427.016,3.7,736,42955,1.2516667,.24166666,75,65
CO,2002,.35707805,1.35,0,1,4498.407,5.6999998,742,43545,.75,.11916666,75,65
CO,2003,.35722193,1.34,0,1,4548.071,6,632,43379,1.2524999,.26749998,75,65
CT,1981,.2434292,1.05,0,0,3128.837,6.1999998,515,19366,3.7249999,.49916667,55,55
CT,1982,.26247215,1.04,0,0,3139.014,6.9000001,515,20138,4.0808334,1.0266666,55,55
CT,1983,.27422836,1.1,0,0,3162.355,6,438,20630,5.1383333,1.6575,55,55
CT,1984,.27979577,1.1,0,0,3180.014,4.5999999,469,21076,4.4375,.59166664,55,55
CT,1985,.28420451,1.14,0,0,3201.131,4.9000001,448,22152,3.6633334,.63749999,55,55
CT,1986,.28420594,1.13,1,0,3223.741,3.8,450,24053,3.9475,.97916669,55,55
CT,1987,.28321657,1.15,1,0,3247.29,3.3,449,26775,3.3975,.53916663,55,55
CT,1988,.27806073,1.14,1,0,3271.954,3,484,26062,3.7,1.0599999,55,55
CT,1989,.2781128,1.09,1,0,3283.404,3.7,406,26183,4.415,.70916665,55,55
CT,1990,.27983984,1.09,1,0,3291.967,5.1999998,384,26303,4.3525,0,55,55
CT,1991,.28051454,1.03,1,0,3302.895,6.8000002,310,26628,3.9749999,.24583334,55,55
CT,1992,.28080943,1.01,1,0,3300.712,7.5999999,296,26459,4.1041665,1.085,55,55
CT,1993,.2815578,.95999998,1,0,3309.175,6.3000002,342,27019,3.8,1.1766667,55,55
CT,1994,.29523712,.99000001,1,0,3316.121,5.5999999,310,27139,4.4900002,.99666667,55,55
CT,1995,.30645531,.97000003,1,0,3324.144,5.5,317,28044,3.0525,.67249995,55,55
CT,1996,.31072056,.94,1,0,3336.685,5.6999998,310,28135,4.8183331,1.0658333,55,55
CT,1997,.31010944,.94999999,1,0,3349.348,5.0999999,338,28552,3.5983334,.61916667,55,55
CT,1998,.31939739,.95999998,1,0,3365.352,3.4000001,329,29322,4.0158334,0,55,55
CT,1999,.32986426,.94,1,0,3386.401,3.2,301,29929,4.1275001,1.2325,65,55
CT,2000,.33026752,.94,1,0,3412.263,2.2,342,30756,4.2883334,1.105,65,55
CT,2001,.32734674,.94999999,1,0,3432.463,3.3,312,30844,3.5125,.63499999,65,55
CT,2002,.33295217,.94999999,1,0,3458.382,4.3000002,322,31205,3.7224998,.39916667,65,55
CT,2003,.3459444,.93000001,1,0,3485.881,5.5,294,31432,4.5641665,.90499997,65,55
DE,1981,.2195116,1.51,0,0,595.974,7.9000001,111,4458,3.2483332,.045000002,55,55
DE,1982,.22049543,1.53,0,0,599.148,8.5,122,4591,3.5266666,.33750001,55,55
DE,1983,.22081846,1.53,0,0,605.4589999999999,8.1000004,110,4886,4.5974998,0,55,55
DE,1984,.21909297,1.51,0,0,611.5650000000001,6.1999998,130,5138,3.7825,.23833333,55,55
DE,1985,.21582234,1.46,0,0,618.279,5.3000002,104,5365,3.5008333,.22750001,55,55
DE,1986,.2175975,1.45,0,0,627.559,4.3000002,136,5762,3.2049999,0,55,55
DE,1987,.22468333,1.4400001,0,0,636.946,3.2,146,6086,3.0208333,.27000001,55,55
DE,1988,.22281533,1.4400001,0,0,647.621,3.2,160,6404,3.4175,.28333333,55,55
DE,1989,.21465456,1.4,0,0,658.274,3.5,116,6446,4.8466668,.12083334,55,55
DE,1990,.20632714,1.4400001,0,0,669.567,5.1999998,138,6548,3.7008333,0,55,55
DE,1991,.21356687,1.4,0,0,683.08,6.3000002,102,6721,3.5133333,0,55,55
DE,1992,.225365,1.4,0,1,694.925,5.3000002,140,6892,3.5483334,0,55,55
DE,1993,.2326024,1.46,0,1,706.378,5.3000002,111,6895,3.8,0,55,55
DE,1994,.23455676,1.4299999,0,1,717.545,4.9000001,112,7025,4.4766665,.41916668,55,55
DE,1995,.24320643,1.3,0,1,729.734,4.3000002,121,7515,3.0008333,0,55,55
DE,1996,.25394484,1.39,0,1,740.977,5.1999998,116,7666,4.835,0,65,55
DE,1997,.26017272,1.37,0,1,751.487,4,143,8008,3.5541668,0,65,55
DE,1998,.26024851,1.36,0,1,763.335,3.8,115,8204,3.7458334,0,65,55
DE,1999,.26270494,1.4,0,1,774.99,3.5,100,8483,3.8083334,0,65,55
DE,2000,.26906922,1.36,0,1,786.441,3.9000001,123,8240,4.2091665,.25166667,65,55
DE,2001,.27744064,1.38,0,1,795.417,3.4000001,136,8615,3.5250001,0,65,55
DE,2002,.2812725,1.39,0,1,805.7670000000001,4.1999998,124,8875,3.5458333,0,65,55
DE,2003,.27947146,1.37,1,0,817.827,4.4000001,142,9044,5.1808333,1.27,65,55
FL,1981,.1714974,1.55,0,0,10192.775,6.8000002,3044,76145,3.9725001,0,55,55
FL,1982,.17898344,1.5599999,0,0,10471.405,8.1999998,2510,79498,5.2308331,0,55,55
FL,1983,.18711311,1.5599999,0,0,10749.849,8.6000004,2683,81776,5.7833333,0,55,55
FL,1984,.19513293,1.48,0,0,11039.925,6.3000002,2859,85475,4.3924999,0,55,55
FL,1985,.20500274,1.47,0,0,11351.12,6,2830,88056,4.2016668,0,55,55
FL,1986,.21240577,1.5,0,0,11667.503,5.6999998,2831,87273,4.4816666,0,55,55
FL,1987,.21889296,1.51,0,1,11997.282,5.3000002,2838,93639,4.6933331,0,55,55
FL,1988,.21179056,1.51,0,1,12306.4,5,3078,105319,4.7125001,0,65,55
FL,1989,.20398806,1.51,0,1,12637.718,5.5999999,2982,108877,4.0066667,0,65,55
FL,1990,.19673944,1.54,0,1,13033.307,6,2892,109997,3.635,0,65,55
FL,1991,.2005623,1.4299999,0,1,13369.798,7.4000001,2464,113319,5.2108331,0,65,55
FL,1992,.205819,1.45,0,1,13650.553,8.3000002,2427,119868,4.8841667,0,65,55
FL,1993,.21125773,1.4400001,0,1,13927.185,7,2635,120467,4.0133333,0,65,55
FL,1994,.21455596,1.4,0,1,14239.444,6.5999999,2687,121989,5.2150002,0,65,55
FL,1995,.21472853,1.34,0,1,14537.875,5.5,2805,127809,4.6491666,0,65,55
FL,1996,.2168671,1.36,0,1,14853.36,5.0999999,2753,130004,4.3008332,0,70,65
FL,1997,.22353964,1.34,0,1,15186.304,4.8000002,2782,134027,5.0883331,0,70,65
FL,1998,.23204416,1.3,0,1,15486.559,4.3000002,2825,137543,5.3983335,0,70,65
FL,1999,.23744769,1.33,0,1,15759.421,3.9000001,2920,141982,3.9508333,0,70,65
FL,2000,.24270606,1.3200001,0,1,16048.887,3.5999999,2999,152136,3.5316665,0,70,65
FL,2001,.252832,1.33,0,1,16350.565,4.8000002,3011,155664,4.3758335,0,70,65
FL,2002,.26049715,1.3200001,0,1,16677.86,5.5,3132,178367,4.8858333,0,70,65
FL,2003,.26547402,1.3200001,0,1,16993.369,5.0999999,3169,185511,5.1791668,0,70,65
GA,1981,.2048098,1.1,0,0,5568.346,6.4000001,1418,44843,3.7375,0,55,55
GA,1982,.2004461,1.12,0,0,5649.788,7.8000002,1229,48731,4.6758332,0,55,55
GA,1983,.19539766,1.14,0,0,5728.248,7.5,1293,48837,5.0283332,0,55,55
GA,1984,.19234593,1.1799999,0,0,5834.943,6,1411,50486,4.1925001,0,55,55
GA,1985,.18981026,1.17,0,0,5962.639,6.5,1361,53713,3.9566667,0,55,55
GA,1986,.19388403,1.22,0,0,6084.645,5.9000001,1530,56833,3.6675,0,55,55
GA,1987,.20000084,1.22,0,0,6208.479,5.5,1599,60293,4.2116666,0,55,55
GA,1988,.20081881,1.22,0,0,6316.139,5.8000002,1653,62262,3.7691667,0,65,55
GA,1989,.20452504,1.1799999,0,1,6411.117,5.5,1632,68069,4.5833335,0,65,55
GA,1990,.20652437,1.22,0,1,6512.602,5.5,1562,70222,3.6158333,0,65,55
GA,1991,.2126769,1.16,0,1,6653.005,5,1389,73005,4.9291668,0,65,55
GA,1992,.2120733,1.22,0,1,6817.203,7,1316,77904,5.1283336,0,65,55
GA,1993,.218107,1.23,0,1,6978.24,5.8000002,1394,78426,3.7941668,0,65,55
GA,1994,.22281083,1.17,0,1,7157.165,5.1999998,1426,82822,4.8558335,0,65,55
GA,1995,.22778733,1.2,0,1,7328.413,4.9000001,1488,85384,4.2449999,0,65,55
GA,1996,.22734366,1.22,1,0,7501.069,4.5999999,1573,89132,4.0466666,0,65,55
GA,1997,.22642531,1.1900001,1,0,7685.099,4.5,1577,93530,4.8099999,0,70,65
GA,1998,.22538197,1.21,1,0,7863.536,4.1999998,1568,96433,4.8966665,0,70,65
GA,1999,.2235166,1.23,1,0,8045.965,4,1508,99304,3.4108334,0,70,65
GA,2000,.23111737,1.22,1,0,8230.155000000001,3.7,1541,105010,3.5875001,0,70,65
GA,2001,.2370051,1.1900001,1,0,8415.6,4,1615,107897,3.6524999,0,70,65
GA,2002,.24367277,1.2,1,0,8581.731,5.0999999,1523,108321,4.0475001,0,70,65
GA,2003,.25113848,1.1900001,1,0,8746.849,4.6999998,1603,109246,5.0158334,0,70,65
IA,1981,.17880049,1.4400001,0,0,2907.985,6.9000001,612,19113,2.6016667,.33583334,55,55
IA,1982,.18208976,1.39,0,0,2888.19,8.5,480,19341,3.2441666,.50749999,55,55
IA,1983,.18741153,1.38,0,0,2870.547,8.1000004,510,19661,2.8708334,.35416669,55,55
IA,1984,.18910129,1.36,0,0,2858.615,7,420,20497,2.7425001,.53583336,55,55
IA,1985,.18830033,1.3099999,0,0,2829.684,8,474,20191,2.4608333,.54666668,55,55
IA,1986,.18501803,1.3200001,1,0,2791.969,7,441,20413,3.1508334,.39916664,55,55
IA,1987,.185093,1.3,1,0,2767.006,5.5,491,20808,2.7358334,.18416667,55,55
IA,1988,.18042253,1.28,1,0,2768.393,4.5,557,21907,1.7925,.21583334,65,55
IA,1989,.17838123,1.26,1,0,2770.59,4.3000002,514,22571,1.9466666,.20416667,65,55
IA,1990,.17871167,1.34,1,0,2781.018,4.3000002,465,22993,3.1816666,.33583334,65,55
IA,1991,.18338333,1.3200001,1,0,2797.613,4.5999999,488,23020,2.9466667,.60666668,65,55
IA,1992,.19219109,1.3099999,1,0,2818.401,4.6999998,437,23926,3.0125,.46166667,65,55
IA,1993,.1983351,1.28,1,0,2836.972,4,459,25118,4.0083332,.59416664,65,55
IA,1994,.2043947,1.3,1,0,2850.746,3.7,478,25737,2.4466667,.405,65,55
IA,1995,.2080746,1.26,1,0,2867.373,3.5,527,25987,2.5708334,.3075,65,55
IA,1996,.2133487,1.28,1,0,2880,3.8,465,26880,2.6175001,.61916667,65,55
IA,1997,.21697207,1.28,1,0,2891.119,3.3,468,27984,2.3483334,.47416666,65,55
IA,1998,.21640283,1.3099999,1,0,2902.872,2.8,449,28911,3.095,.12916666,65,55
IA,1999,.22053429,1.34,1,0,2917.634,2.5,490,29140,2.7550001,.17083333,65,55
IA,2000,.22889264,1.35,1,0,2928.46,2.5999999,445,29433,2.4683332,.20083334,65,55
IA,2001,.23843417,1.36,1,0,2931.272,3.3,447,30016,2.8933334,.67750001,65,55
IA,2002,.24585497,1.37,1,0,2934.34,4,404,30847,2.2483335,.30250001,65,55
IA,2003,.2491349,1.37,1,0,2941.362,4.5,441,31108,2.4208333,.29833332,65,55
ID,1981,.1897243,1.54,0,0,962.204,7.5999999,293,6977,1.6850001,.65500003,55,55
ID,1982,.1873191,1.47,0,0,973.7190000000001,9.8000002,255,7857,2.0474999,1.0658333,55,55
ID,1983,.19695157,1.4400001,0,0,981.866,9.8000002,263,8287,2.1166666,.75749999,55,55
ID,1984,.2060117,1.4,0,0,990.841,7.1999998,242,7768,1.705,.50666666,55,55
ID,1985,.21152696,1.35,0,0,994.052,7.9000001,255,7710,1.2791667,.63749999,55,55
ID,1986,.2048209,1.34,0,0,990.222,8.6999998,258,7781,1.855,.19333333,55,55
ID,1987,.19904837,1.3099999,0,1,984.997,8,262,8119,1.325,.49083334,55,55
ID,1988,.18532573,1.25,0,1,985.6609999999999,5.8000002,257,8127,1.3491666,.39750001,65,55
ID,1989,.17959377,1.23,0,1,994.422,5.0999999,238,8422,1.325,.41583332,65,55
ID,1990,.17803811,1.36,0,1,1012.384,5.9000001,244,9849,1.4916667,.55333334,65,55
ID,1991,.18273737,1.3099999,0,1,1041.316,6.1999998,264,10318,1.4041667,.42250001,65,55
ID,1992,.18868317,1.3200001,0,1,1071.685,6.5,243,10764,1.1933333,.40416667,65,55
ID,1993,.19790357,1.26,0,1,1108.768,6.1999998,227,11481,1.6341667,.55583334,65,55
ID,1994,.20352054,1.24,0,1,1145.14,5.5999999,249,11652,1.3116667,.80250001,65,55
ID,1995,.20723653,1.15,0,1,1177.322,5.4000001,262,12296,1.9925001,.45333335,65,55
ID,1996,.20740503,1.1799999,0,1,1203.083,5.1999998,258,12961,2.1383333,1.1316667,75,75
ID,1997,.21486233,1.14,0,1,1228.52,5.3000002,259,12880,1.6375,.57749999,75,75
ID,1998,.21562086,1.15,0,1,1252.33,5,265,13428,2.0008333,.69999999,75,75
ID,1999,.21568866,1.17,0,1,1275.674,5.1999998,278,13975,1.6408334,.91833335,75,75
ID,2000,.21509176,1.16,0,1,1299.68,4.9000001,276,13534,1.36,.40166667,75,75
ID,2001,.21701556,1.14,0,1,1321.162,5,259,14078,1.1291667,.43333334,75,75
ID,2002,.2205926,1.16,0,1,1343.973,5.8000002,264,14167,1.21,.63916671,75,75
ID,2003,.22654536,1.14,0,1,1368.111,5.4000001,293,14290,1.5183333,.63249999,75,75
IL,1981,.20871539,1.4299999,0,0,11443.461,8.5,1818,65836,3.47,.55416667,55,55
IL,1982,.21597584,1.41,0,0,11423.413,11.3,1652,65835,3.7891667,.57416666,55,55
IL,1983,.22201833,1.42,0,0,11408.817,11.4,1526,67370,3.1675,.34999999,55,55
IL,1984,.22558664,1.4,0,0,11412.128,9.1000004,1572,69910,3.24,.064166665,55,55
IL,1985,.22816117,1.38,0,0,11399.803,9,1535,70844,3.7849998,.91750002,55,55
IL,1986,.2319454,1.4,0,1,11387.256,8.1000004,1596,74144,2.9341667,.62416667,55,55
IL,1987,.23557673,1.41,0,1,11391.176,7.4000001,1660,75756,2.8483334,.13166668,55,55
IL,1988,.23265724,1.42,0,1,11390.186,6.8000002,1837,78483,2.4216666,.70083332,65,55
IL,1989,.22856884,1.38,0,1,11409.782,6,1748,81297,2.7625,.42666665,65,55
IL,1990,.22929104,1.4299999,0,1,11453.316,6.1999998,1589,83334,4.1849999,.45500001,65,55
IL,1991,.23436099,1.38,0,1,11568.964,7.1999998,1448,85430,2.615,.14,65,55
IL,1992,.23437397,1.34,0,1,11694.184,7.5999999,1384,87642,2.9708333,.33000001,65,55
IL,1993,.23309003,1.3200001,0,1,11809.579,7.5,1392,89693,4.2150002,.62583333,65,55
IL,1994,.23660007,1.3200001,0,1,11912.585,5.6999998,1554,92316,2.9283333,.46000001,65,55
IL,1995,.24481617,1.3,0,1,12008.437,5.1999998,1586,94189,3.0833333,.55916667,65,55
IL,1996,.2510663,1.27,0,1,12101.997,5.3000002,1477,96385,3.1083333,.48250002,65,55
IL,1997,.25503972,1.26,0,1,12185.715,4.6999998,1395,99319,3.0866666,.37333333,65,55
IL,1998,.2590085,1.28,0,1,12271.847,4.5,1393,101273,3.5825,.22833334,65,55
IL,1999,.26280609,1.29,0,1,12359.02,4.3000002,1456,102397,2.9966667,.35333332,65,55
IL,2000,.26407471,1.28,0,1,12439.738,4.3000002,1418,102866,3.3683333,.30583334,65,55
IL,2001,.26922718,1.27,0,1,12518.506,5.4000001,1414,103038,3.1175001,.68916667,65,55
IL,2002,.27604586,1.27,0,1,12586.839,6.5,1411,105401,3.1866667,.18833333,65,55
IL,2003,.28218803,1.25,0,1,12649.94,6.6999998,1453,106536,3.1900001,.37916666,65,55
IN,1981,.1343759,1.29,0,0,5480.44,10.1,1130,38882,3.4875,.70499998,55,55
IN,1982,.1427155,1.29,0,0,5467.918,11.9,955,39203,3.8341668,.79166669,55,55
IN,1983,.151214,1.27,0,0,5450.396,11.1,1014,39837,3.01,.40083334,55,55
IN,1984,.16311617,1.26,0,0,5458.322,8.6000004,925,41074,3.22,.074999996,55,55
IN,1985,.16871433,1.25,0,0,5459.214,7.9000001,974,40782,3.7991667,.97833335,55,55
IN,1986,.1683155,1.25,0,0,5454.103,6.6999998,1038,40780,3.2,.58583337,55,55
IN,1987,.162165,1.24,0,0,5473.023,6.4000001,1055,44122,2.8591666,.13583334,55,55
IN,1988,.15696333,1.23,0,1,5491.733,5.3000002,1101,51124,2.865,.8725,65,55
IN,1989,.15238214,1.21,0,1,5523.679,4.6999998,971,56192,3.7333333,.58166665,65,55
IN,1990,.14930287,1.26,0,1,5557.798,5.3000002,1050,53697,4.5533333,0,65,55
IN,1991,.15053374,1.22,0,1,5616.388,6,1022,54266,2.7708333,.17,65,55
IN,1992,.15423027,1.16,0,1,5674.547,6.5999999,901,57072,3.3666666,.12916666,65,55
IN,1993,.16040669,1.15,0,1,5739.019,5.4000001,889,60461,3.9716666,.83749998,65,55
